Gene ID	Gene Name	'COVID-19' vs 'normal' in 'colon'.p-value	'COVID-19' vs 'normal' in 'colon'.log2foldchange	'COVID-19' vs 'normal' in 'lung'.p-value	'COVID-19' vs 'normal' in 'lung'.log2foldchange
ENSG00000000003	TSPAN6	0.813312168267391	0.2	0.670523823787515	-0.4
ENSG00000000005	TNMD	0.0146707693326173	-1.9	0.883506955372642	-0.2
ENSG00000000419	DPM1	0.208809855217115	0.6	0.139755999676328	0.7
ENSG00000000457	SCYL3	0.44877675666895	0.4	0.872393309099661	-0.1
ENSG00000000460	C1orf112	0.000141910383685132	-1	0.0746635129872982	-0.9
ENSG00000000938	FGR	0.740578078507895	0.3	0.266173203606666	0.6
ENSG00000000971	CFH	0.860951240806053	0.1	0.038879961605143	0.7
ENSG00000001036	FUCA2	0.126942264041999	-0.4	0.00368676418381077	0.8
ENSG00000001084	GCLC	0.102688993785216	0.6	0.00519693144546285	1.4
ENSG00000001167	NFYA	0.724554741563877	-0.2	0.359025341002456	-0.5
ENSG00000001460	STPG1	0.37243761115853	-0.3	0.127735312309152	-0.7
ENSG00000001461	NIPAL3	0.154006838399214	-0.5	0.213587902651944	-0.6
ENSG00000001497	LAS1L	0.63722246872442	0.3	0.161344400952703	-0.9
ENSG00000001561	ENPP4	0.0454493308517523	0.9	0.980539314643408	0
ENSG00000001617	SEMA3F	0.10912740544519	-1	0.984768005431631	0
ENSG00000001626	CFTR	0.163542783220078	-1.2	0.54679387971058	-0.4
ENSG00000001629	ANKIB1	0.0047156723621642	0.4	0.682004049666536	0.1
ENSG00000001630	CYP51A1	0.733768200992946	-0.4	0.962332308198702	-0.1
ENSG00000001631	KRIT1	0.0910015845711275	0.6	0.602664038247751	-0.2
ENSG00000002016	RAD52	0.162479819560777	-0.7	0.000216409750118665	-1.4
ENSG00000002079	MYH16	NA	-1	0.553036976378691	-0.9
ENSG00000002330	BAD	7.92571720014652e-05	-2.3	0.766601996416318	0.3
ENSG00000002549	LAP3	0.432305063497657	0.3	0.114637861652463	0.7
ENSG00000002586	CD99	0.190621386828789	0.5	0.0207011220780145	0.8
ENSG00000002587	HS3ST1	0.370385433407653	-0.6	0.398714265902793	-0.7
ENSG00000002726	AOC1	0.00386101530345638	-2.6	NA	0.7
ENSG00000002745	WNT16	0.836005746956971	0.2	0.0794149607813264	1.3
ENSG00000002746	HECW1	0.661606036658067	0.5	0.296362638913639	-1
ENSG00000002822	MAD1L1	0.522425875265533	-0.6	0.898462056537115	-0.1
ENSG00000002834	LASP1	0.00384250615703599	-1.2	0.521970360418467	-0.3
ENSG00000002919	SNX11	0.407549722771456	0.8	0.304342203962133	0.9
ENSG00000002933	TMEM176A	0.262692498859987	-0.7	0.561222381049926	-0.5
ENSG00000003056	M6PR	0.943885082527856	0	0.45799121001847	0.3
ENSG00000003096	KLHL13	0.7997094449167	0.2	0.715054994835416	0.3
ENSG00000003137	CYP26B1	0.884906240996672	0.2	0.219648303194695	1.2
ENSG00000003147	ICA1	0.0202181885735246	-1	0.900163346235219	-0.1
ENSG00000003249	DBNDD1	0.67305605130529	-0.5	0.83306437349713	-0.3
ENSG00000003393	ALS2	0.636364651576481	0.3	0.978070825139804	0
ENSG00000003400	CASP10	0.336612273723996	-0.6	0.61749467391288	-0.3
ENSG00000003402	CFLAR	0.343950163107653	0.3	9.36201003436023e-05	-0.8
ENSG00000003436	TFPI	0.000434415409437606	1.6	0.00551461585192675	0.8
ENSG00000003509	NDUFAF7	0.431239123708137	0.4	0.240721256519024	-0.5
ENSG00000003756	RBM5	0.773310868611457	0.1	0.647205887081795	0.2
ENSG00000003987	MTMR7	0.205556444640549	-0.7	0.18094203342954	-0.9
ENSG00000003989	SLC7A2	4.30931565591605e-06	1.9	0.0129424337501096	1.2
ENSG00000004059	ARF5	0.0696524305413336	-1.2	0.0968288073651301	1.3
ENSG00000004139	SARM1	0.902658456429554	0.1	0.400249344336979	-0.7
ENSG00000004142	POLDIP2	0.0250759046775154	-1.3	0.114463162419513	0.6
ENSG00000004399	PLXND1	0.0327957264856263	-0.7	0.0238428272961171	-0.6
ENSG00000004455	AK2	0.106419227656201	0.8	0.0640239405768568	0.9
ENSG00000004468	CD38	0.410120148234953	-0.6	0.680883611586771	0.3
ENSG00000004478	FKBP4	0.555088843395368	-0.3	0.025928525279526	1.3
ENSG00000004487	KDM1A	0.779120643222737	-0.1	0.814417871169454	0.1
ENSG00000004534	RBM6	2.01015185081254e-05	-1.2	0.589380576915687	-0.3
ENSG00000004660	CAMKK1	0.937348868796883	-0.1	0.722563032287977	-0.4
ENSG00000004700	RECQL	0.619094846496284	0.3	0.24616699585243	0.6
ENSG00000004766	VPS50	0.906290700501482	0.1	0.728303621401397	-0.1
ENSG00000004776	HSPB6	0.0859585212586636	1.3	0.617687417640806	0.3
ENSG00000004777	ARHGAP33	4.34330150791008e-05	-2.2	0.449838080192391	-0.6
ENSG00000004779	NDUFAB1	0.481042253203719	-0.4	0.0215669492588117	1
ENSG00000004799	PDK4	0.213858023722623	1	0.834553180350058	0.2
ENSG00000004809	SLC22A16	0.26875638224171	-1.6	0.347228012031034	1.5
ENSG00000004838	ZMYND10	0.0143262582302803	-2.3	0.456768391115855	-1
ENSG00000004846	ABCB5	0.0118492783621605	2.1	0.917059858829864	0.2
ENSG00000004848	ARX	0.0166770304276976	-2.4	0.919881587726043	0.2
ENSG00000004864	SLC25A13	0.243819066985924	0.8	0.0547326512130138	0.7
ENSG00000004866	ST7	0.401315091302662	0.5	0.362494389714467	-0.6
ENSG00000004897	CDC27	0.00252207187237429	0.7	0.000887258637539903	0.6
ENSG00000004939	SLC4A1	0.370334311222502	-1.3	0.445345204576297	0.9
ENSG00000004948	CALCR	0.408517333695399	-1	0.0505542207507266	-1.9
