entrez	pval	logfc
7105	0.813312168267391	0.2
64102	0.0146707693326173	-1.9
8813	0.208809855217115	0.6
57147	0.44877675666895	0.4
55732	0.0001419103836851	-1.0
2268	0.740578078507895	0.3
3075	0.860951240806053	0.1
2519	0.126942264041999	-0.4
2729	0.102688993785216	0.6
4800	0.724554741563877	-0.2
90529	0.37243761115853	-0.3
57185	0.154006838399214	-0.5
81887	0.63722246872442	0.3
22875	0.0454493308517523	0.9
6405	0.10912740544519	-1.0
1080	0.163542783220078	-1.2
54467	0.0047156723621642	0.4
1595	0.733768200992946	-0.4
889	0.0910015845711275	0.6
5893	0.162479819560777	-0.7
572	7.92571720014652e-05	-2.3
51056	0.432305063497657	0.3
4267	0.190621386828789	0.5
9957	0.370385433407653	-0.6
26	0.0038610153034563	-2.6
51384	0.836005746956971	0.2
23072	0.661606036658067	0.5
8379	0.522425875265533	-0.6
3927	0.0038425061570359	-1.2
29916	0.407549722771456	0.8
55365	0.262692498859987	-0.7
4074	0.943885082527856	0.0
90293	0.7997094449167	0.2
56603	0.884906240996672	0.2
3382	0.0202181885735246	-1.0
79007	0.67305605130529	-0.5
57679	0.636364651576481	0.3
843	0.336612273723996	-0.6
8837	0.343950163107653	0.3
7035	0.0004344154094376	1.6
55471	0.431239123708137	0.4
10181	0.773310868611457	0.1
9108	0.205556444640549	-0.7
6542	4.30931565591605e-06	1.9
381	0.0696524305413336	-1.2
23098	0.902658456429554	0.1
26073	0.0250759046775154	-1.3
23129	0.0327957264856263	-0.7
204	0.106419227656201	0.8
952	0.410120148234953	-0.6
2288	0.555088843395368	-0.3
23028	0.779120643222737	-0.1
10180	2.01015185081254e-05	-1.2
84254	0.937348868796883	-0.1
5965	0.619094846496284	0.3
55610	0.906290700501482	0.1
126393	0.0859585212586636	1.3
115703	4.34330150791008e-05	-2.2
4706	0.481042253203719	-0.4
5166	0.213858023722623	1.0
85413	0.26875638224171	-1.6
51364	0.0143262582302803	-2.3
340273	0.0118492783621605	2.1
170302	0.0166770304276976	-2.4
10165	0.243819066985924	0.8
93655	0.401315091302662	0.5
996	0.0025220718723742	0.7
6521	0.370334311222502	-1.3
799	0.408517333695399	-1.0
3052	0.0176792598214556	1.4
1856	0.894572403545346	0.1
64063	0.0714252302838539	-2.3
5976	0.621511976562938	-0.2
8935	0.110956718025192	0.7
292	0.371604277432348	-0.4
55013	0.602836664298624	0.2
3207	0.562573020080666	0.5
5439	0.85134504255554	0.1
56919	0.930029373273178	0.1
4222	0.396255394110548	0.8
221981	0.232152933807117	0.6
3980	0.828955446428253	-0.1
79657	9.84370991539254e-05	0.7
6296	0.437965263148367	0.6
81691	0.757571476589656	0.3
57019	0.910898087818337	-0.1
56928	0.444474138635103	-0.6
80256	0.369666442446995	-0.7
51226	0.489417874019939	-0.4
5577	0.460643672191143	0.4
10943	0.407361007930588	-0.4
1387	0.307700385652639	-0.3
9256	0.126973606554699	-1.2
5444	0.644876083660365	-0.4
6936	1.67904920252871e-06	0.8
84058	0.25874849394229	-1.0
54677	0.957392890497676	0.0
5244	0.0117079953133767	-2.1
55904	0.151697051145239	0.3
57414	0.147637680578726	-0.6
30812	0.920731924073265	0.1
25998	0.520605221126512	-0.2
7748	0.481665222022776	-0.3
23077	0.749228852561505	-0.1
26224	5.00501324075388e-05	0.9
3683	0.175386031524211	-1.2
5164	0.475750259794718	-0.5
3675	0.0090313637970646	-1.1
7543	0.651883165841225	0.2
3920	0.0004877613957384	0.8
3674	0.703520541044978	0.5
51666	0.433025255474708	-0.9
51573	0.454092949545445	-0.3
55049	1.2592385211142399e-13	-2.5
9244	0.451321741447542	0.7
114881	0.652680192862228	-0.4
26022	0.0475269040631342	-1.1
51087	0.336383167126556	-0.7
9020	0.0915113659035763	-1.3
6833	0.157683101542203	-1.2
54972	0.0015816750237046	-2.7
163	0.71198936201757	0.1
6863	0.0121786312631795	1.9
10127	0.879245525824216	0.1
6376	0.502380597960038	-0.4
64847	0.0088695854728543	-1.3
8913	0.0819343855320099	-2.3
51330	0.487010429549882	-0.8
1750	0.167008270140042	-1.7
4293	0.0631107456930552	-1.4
5898	0.350430311701256	0.5
55971	0.949546668980094	0.1
80853	0.277703720432304	0.5
2115	0.0012240377547679	1.5
55750	0.200026263496366	-0.6
221	0.189433174344536	-0.8
55001	0.0011901995609947	-1.9
57157	0.27941186507911	-0.4
10344	0.127220314920056	-1.9
9855	0.933193567467034	0.0
10083	0.0421906078546385	-1.7
79017	0.823660840793557	0.2
10926	0.81144777488695	-0.1
6915	0.181651832652878	-1.1
3475	0.215158523933991	0.5
1352	0.569009672795103	-0.3
9569	0.249701711399919	0.8
54623	0.503603463887436	-0.3
27072	0.668526623771136	-0.2
9912	0.292025588131606	-0.7
60528	0.167030963848317	-0.4
85477	0.0265445195583711	-1.5
414	0.0098290109390588	-1.1
8228	0.134973757808589	-1.0
8735	0.539242341124395	0.9
79602	0.0231426611672001	0.7
51265	0.41101274748633	0.6
151531	0.258090459658951	-1.4
10942	0.915072319667406	0.2
57787	0.879512488463069	-0.1
8842	0.0068732792887589	-1.4
115098	0.855532596560573	0.2
90273	0.0269514457304265	-2.0
5048	0.747782757136471	0.1
4843	0.117176010328345	-1.6
1770	0.956966878820375	-0.1
9703	0.782812868525154	-0.1
9058	5.77169302421927e-06	-3.7
8522	0.254014395847382	0.6
79090	0.0014722459108462	-2.0
4145	0.000218442846248	-3.4
1087	0.277583064020191	-1.4
974	0.147523683320445	-1.6
6329	0.0001064089983519	-3.8
54879	0.0357636525388711	0.7
8277	0.91490069820287	-0.2
5080	0.0003333705710073	-3.1
113000	0.011847156472252	-1.8
64285	0.912055267249595	0.1
55692	0.591927202564167	0.2
9254	0.395941851167072	-0.7
8938	7.80178774121572e-05	-3.6
115939	0.0076844552144127	-1.8
9091	0.174986810815186	-1.1
57585	0.99045335072105	0.0
7005	0.709369047025031	0.2
6401	0.152003324586442	-1.5
55735	0.120391235492367	-0.6
2328	0.771359469878252	0.3
29116	0.232865241973134	-0.8
27035	0.0854794494666147	-1.5
1870	0.418073339214508	-0.8
5689	0.993372788700864	0.0
6853	0.428493286687826	0.8
3720	0.152029958335427	-0.6
6792	0.4147480031415	0.4
57172	0.552780117481768	-0.7
728642	0.439537891048306	-0.7
65220	0.749989764657728	-0.3
7021	0.588983155071967	-0.8
9940	4.03190198277785e-08	-4.1
9265	0.193895827948007	-0.7
53616	0.209570540237199	-0.6
6856	2.57428522377522e-06	1.0
1534	7.84134111821707e-08	-2.5
9043	0.0330799907037865	0.5
1951	0.0357747393368903	-1.4
