entrez,pval,fc
151636,5e-324,2.04823755388668
3799,5e-324,2.05775099657005
23317,5e-324,2.06671579065975
9652,5e-324,2.06701954972303
3895,5e-324,2.07722189144375
55183,5e-324,2.0777424791649
23064,5e-324,2.17797483142585
84162,5e-324,2.21086701404512
2633,5e-324,2.27872082348134
7175,5e-324,2.34935578502781
5903,5e-324,2.36696431355472
23325,5e-324,2.36888960130101
3437,5e-324,2.4459851017071
3433,5e-324,2.685964195029
64135,5e-324,2.69823762898535
23586,5e-324,2.91912199891549
55601,5e-324,2.92061880568743
54809,5e-324,3.77405601008436
219285,5e-324,3.88599681141086
7155,2.32965353729198e-288,1.83086509539782
4734,1.51301574898119e-281,1.85320582481956
5108,5.69678869132809e-268,2.08202942235715
8411,2.43182842428135e-261,2.25544465694304
10973,1.59912885719241e-256,1.76764361062289
100507113,2.9809021940333e-254,2.10350063297056
9169,3.17032679777347e-254,1.93370459156285
23244,3.5794623511310204e-254,1.74057198921172
5874,5.029894517248609e-252,1.85844728089241
2804,8.29482890774755e-252,2.29786253937121
667,3.9194395416802e-250,2.26367035817319
91351,4.2130200350966997e-250,3.02902237333646
10735,3.0709003363328e-247,1.94415216880443
80205,7.768182376121499e-247,2.02820851465829
4939,4.00906915635444e-246,1.65964086684775
55088,6.67225567527197e-245,2.39184195849717
54832,3.28085818091086e-241,2.42099908351151
221037,2.5690923073804e-240,2.24854826356953
55196,1.90948352067344e-237,2.24088642862403
114882,2.6473257210393798e-232,2.00809888096736
472,2.94442617227405e-230,1.89406336605
2803,8.03101847595087e-228,2.15695457744781
10128,7.67972613907863e-227,1.63274783174615
79572,1.30614618440038e-225,1.68069812561963
253260,2.25839631058432e-225,1.98681857520467
55075,3.35777061973587e-225,1.90327859401647
54625,3.66114208592643e-224,2.46659513635301
10787,9.49262721472244e-223,1.74501456566096
259266,2.3185195040475997e-222,2.36681423672596
3428,1.05680280667932e-221,2.13275237161716
23077,8.53075952731879e-221,1.70969417020552
550081,3.4952817610533e-220,2.05791630643538
